period radius
12.7204 5.0888
6.2385 2.7072
4.1679 1.0836
40.3512 2.4190
61.6179 3.0745
6.4110 1.2573
13.8430 2.1817
24.2758 2.4788
1.6169 2.0840
19.3057 2.8089
56.6378 2.5867
6.0975 1.5564
4.8934 1.5878
21.0112 1.4389
3.2230 1.5123
42.0370 1.7018
15.3574 1.3983
70.9672 2.7895
4.3613 1.2178
22.3665 3.1490
14.5865 2.5074
8.0293 1.0152
8.9434 1.7751
46.8777 3.0308
3.1774 2.5573
41.0081 2.5489
5.6047 1.2787
1.4008 1.2605
6.2839 0.8236
9.0874 0.8262
3.8231 0.8540
97.4451 3.0499
4.1654 1.5509
7.7519 2.9327
180.4116 13.9478
1.5449 13.0967
54.0816 2.0312
16.7092 2.1814
28.5516 1.8943
11.1896 1.7736
17.8485 3.2210
26.1363 2.7427
14.4858 2.6141
31.7821 1.9987
4.3627 1.6908
6.9414 2.8474
15.0331 1.8879
34.7502 3.0371
4.5144 1.6771
29.5390 2.4349
40.6992 3.1731
7.7481 6.0416
0.7667 1.1308
4.6030 1.2207
18.1210 1.5099
3.9514 32.7111
43.1018 2.2000
4.0202 0.6265
7.5459 0.7017
16.2951 1.1098
20.4222 1.9129
7.6384 1.1965
5.4398 1.4265
3.3842 1.4012
13.1932 3.3390
4.4253 1.8523
15.0681 25.9354
1.6093 1.8315
4.7294 1.4231
9.5122 2.3182
31.4453 4.3867
5.1856 2.2553
8.4581 2.4345
170.9963 3.7636
36.5158 2.2397
4.9433 1.2734
31.5786 4.5723
202.1171 5.8139
7.2386 1.3287
12.4660 6.0092
21.5870 2.3251
37.9948 2.5453
56.2590 2.3657
5.7662 2.4202
161.4748 4.2690
17.1622 21.8934
60.5330 2.9776
9.6686 1.7978
24.4976 2.6515
23.1175 4.4590
4.7750 1.7631
0.9868 1.4331
3.0721 1.5623
4.6454 1.6034
7.0535 2.5943
9.5216 2.5962
7.3285 1.9947
77.9205 0.9997
8.7743 1.3767
15.9653 3.4855
179.6080 5.7241
8.6304 1.3594
3.2901 2.1973
21.1580 1.5394
186.4357 9.1622
5.5668 0.9860
6.9337 1.7181
4.6409 70.6193
34.9181 3.2144
71.3112 6.6475
5.7721 1.8415
141.6085 2.6387
7.2340 1.8365
3.3393 1.0047
7.9915 1.2772
76.4230 2.9414
7.0107 2.0723
0.9680 1.9942
41.6980 2.1996
16.7198 2.5828
21.8130 2.8629
33.3726 1.7985
24.8110 5.4113
7.1370 1.7624
0.7418 30.5910
7.7967 3.3427
153.9800 2.4802
3.1055 2.6526
8.8271 1.6409
27.5087 2.9997
8.4574 1.0309
87.5180 1.8639
14.5324 2.6234
44.8703 2.9420
21.2226 2.5786
6.4816 2.6342
0.7545 1.6417
3.8952 0.9841
23.6421 3.0222
67.0933 3.6502
17.9798 2.6462
150.8777 2.6440
7.1652 2.4418
13.0029 1.5985
87.9732 3.4903
3.0577 1.3303
0.8140 1.4982
7.9710 2.1122
0.8684 1.3226
3.0217 1.4130
6.9847 0.8934
61.0372 2.7614
10.5791 2.0488
106.2600 1.2063
4.1158 1.5528
11.4194 1.0148
4.0814 1.0280
6.8344 1.0388
1.4803 1.0031
7.0161 1.9755
14.8446 2.2610
22.8244 3.0582
0.8769 0.9019
11.9540 1.9125
4.5620 1.0565
6.6824 0.7828
16.7386 2.5471
3.2054 1.6944
5.4871 3.2243
8.2909 3.2024
4.7151 1.5383
8.1036 2.2198
10.0853 1.5836
33.8679 2.3244
6.3658 2.7026
35.6226 2.2961
11.1793 1.0593
30.6940 11.7421
15.3824 2.3077
9.6950 2.2527
32.5478 1.8920
10.4157 2.8322
13.0842 2.5527
36.7216 3.2932
14.2651 1.0141
4.8664 1.5946
8.2224 2.3344
0.5399 0.7292
